interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
701,3335,a hiker walking at a constant rate of 4 kilometers per hour is passed by a cyclist travelling in the same direction along the same path at a constant rate of 18 kilometers per hour . the cyclist stops and waits for the hiker 5 minutes after passing her while the hiker continues to walk at her constant rate . how many minutes must the cyclist wait until the hiker catches up ?,physics,2,"Assume that the cyclist wart $X$ minutes to let the hiker catches up, then: $$ \begin{aligned} & 18000(\mathrm{~m}) \div 60=300 \mathrm{~m} / \mathrm{min} \\ & 4000 \doteqdot 60 \doteqdot 66.7 \mathrm{~m} / \mathrm{min} \\ & 300 \times 5=66.7 \times(5+x) \\ & x=1500 \doteqdot 66.7-5 \\ & \fallingdotseq 17.5 \mathrm{~min} \end{aligned} $$",Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
702,534,"48 persons can repair a road in 12 days , working 5 hours a day . in how many days will 30 persons , working 6 hours a day , complete the work ?",physics,2,"Assume a person do X/ hr, then $$ \begin{aligned} & 48 \times 5 x \times 12=2880 x \\ & 2880 x=(30 \times 6 x) \\ & =2880 x=180 x \\ & =16 \text { (days) } \Rightarrow . \end{aligned} $$",Workload-Time-Speed,No,1
703,5178,the number 0.8 is how much greater than 1 / 8 ?,general,2,\begin{aligned} & 1 \div 8=0.125 \\ & 0.8-0.125=0.675 \end{aligned},Basic Math Operations,No,1
704,710,a certain debt will be paid in 52 installments from january 1 to december 31 of a certain year . each of the first 22 payments is to be $ 410 ; each of the remaining payments is to be $ 65 more than each of the first 22 payments . what is the average ( arithmetic mean ) payment that will be made on the debt for the year ?,general,2,"\begin{aligned} & 52-22=30 \\ & 410+65=475 \\ & (410 \times 22+475 \times 30) \div 52 \\ & =(9020+14250) \div 52 \\ & =23270 \div 52 \\ & =447,5 \end{aligned}",Arithmetic Mean,No,1
705,5721,"it takes 35 identical printing presses 12 hours to print 500,000 papers . how many hours would it take 30 of these printing presses to print 500,000 papers ?",physics,2,"Assume a printing presses can print $X$ papers in an hour, and it takes $y$ hours to let 30 printing presses to print 500000 papers, then: $$ \begin{aligned} & 35 \times 12 x=500000 \\ & 420 x=500000 \\ & 500000=30 x y=420 x \\ & y=14(\mathrm{hr}) \end{aligned} $$",Workload-Time-Speed,No,1
706,675,"a man can row upstream at 40 kmph and downstream at 52 kmph , and then find the speed of the man in still water ?",physics,2,"Assur the speed of the man Th still water is $X \mathrm{~km} / \mathrm{hr}$, and the man can row in the speed $y \mathrm{~km} / \mathrm{hr}_{\text {, then }}$ $$ \begin{aligned} & y-x=40-10 \\ & y+x=52-(2) \\ & (1+2) \\ & 2 y=92, y=46 \mathrm{~km} / \mathrm{hr} \end{aligned} $$ (2) $-(1)$ $$ 2 x=12, x=6 \mathrm{~km} / \mathrm{hr} \text { \#. } $$",Relative Speed,No,1
707,636,"susan drives from city a to city b . after two hours of driving she noticed that she covered 80 km and calculated that , if she continued driving at the same speed , she would end up been 15 minutes late . so she increased her speed by 10 km / hr and she arrived at city b 36 minutes earlier than she planned . find the distance between cities a and b .",physics,2,(1) $\times 5$ $$ 5 x-200 y=450 $$ (2) $\times 4$ $$ 4 x-200 y=200-4 $$ (3) -(4) $x=250(\mathrm{~km})$,Distance-Time-Speed && Unit Conversion,No,1
708,5948,the average age of 3 boys is 15 years and their ages are in proportion 3 : 5 : 7 . what is the age in years of the eldest boy ?,general,2,"Assume the eldest boy is $x$ years old. $$ \begin{aligned} & \left(\frac{3 x}{7}+\frac{5 x}{7}+x\right) \div 3=15 \\ & \Rightarrow \frac{15 x}{7}=45 \\ & \Rightarrow 15 x=45 \times 7=315 \\ & \Rightarrow x=315 \div 15=21 \end{aligned} $$ Al 21 years old,",Arithmetic Mean,No,1
709,3869,"paul completes a piece of work in 80 days , rose completes the same work in 120 days . if both of them work together , then the number of days required to complete the work is ?",physics,2,"Assume the workload is $x$, Paul\& Rose work together Y davy to complete the work, $$ \begin{aligned} & \left(\frac{x}{80}+\frac{x}{120}\right) \cdot y=x \\ & \Rightarrow\left(\frac{5 x}{240}\right) \cdot y=x \\ & \Rightarrow y=x \cdot \frac{240}{5 x}=48  \end{aligned} $$ A 48 days",Workload-Time-Speed,No,1
710,715,"if the sum of two numbers is 22 and the sum of their squares is 386 , then the product of the numbers is",general,2,"Assume a number is $\chi$, and the other number is $(22-x)$ $$ \begin{aligned} & x^2+(22-x)^2=386 \\ \Rightarrow & x^2+x^2-44 x+484=386 \\ \Rightarrow & 2 x^2-44 x+98=0 \\ \therefore & x^2-22 x+49=0 \\ \Rightarrow & x(x-22)=-49 \\ x(-1) & x(22-x)=49  \\ \Rightarrow & A x(22-x)=49 \end{aligned} $$",Square of the Sum,No,1
711,4778,"a teacher grades students  tests by subtracting twice the number of incorrect responses from the number of correct responses . if student a answers each of the 100 questions on her test and receives a score of 70 , how many questions did student a answer correctly ?",general,2,"Assume the student answers correctly for $x$ questions, $$ \begin{aligned} & x-2(100-x)=70 \\ \Rightarrow & x-200+2 x=70 \\ \Rightarrow & 3 x=70+200=270 \\ \Rightarrow & x=270 \div 3=90 \end{aligned} ",Expression and Operations with Symbols,No,1
712,364,"a group of people participate in some curriculum , 30 of them practice yoga , 25 study cooking , 15 study weaving , 6 of them study cooking only , 8 of them study both the cooking and yoga , 7 of them participate all curriculums . how many people study both cooking and weaving ?",other,2,25-8-7-6=4,Inclusion-Exclusion Principle,No,1
713,3575,"a broker invested her own money in the stock market . during the first year , she increased her stock market wealth by 60 percent . in the second year , largely as a result of a slump in the stock market , she suffered a 30 percent decrease in the value of her stock investments . what was the net increase or decrease on her overall stock investment wealth by the end of the second year ?",gain,2,Assume the original money is $x$ $$ \begin{aligned} & x \cdot(1+60 \%)=1.6 x \\ & 1.6 x \cdot(1-30 \%)=1.6 x \cdot 0.7=1.12 x \\ & 1.12 x-x=0.12 x  \end{aligned} $$ Al her stock investment wealth net increase $12 \%$,Ratio Calculation,No,1
714,6151,"two trains , a and b , started simultaneously from opposite ends of a 200 - mile route and traveled toward each other on parallel tracks . train a , traveling at a constant rate , completed the 200 - mile trip in 10 hours ; train b , traveling at a constant rate , completed the 200 - mile trip in 6 hours . how many miles had train a traveled when it met train b ?",physics,2,"$$ \begin{aligned} & 200 \div 10=20 \\ & 200 \div 6=\frac{100}{3} \end{aligned} $$ Assume they travel $x$ hours $$ \begin{aligned} & \left(20+\frac{100}{3}\right) x=200 \\ & \Rightarrow \frac{160}{3} x=200 \\ & \Rightarrow x=200 \times \frac{3}{160}=\frac{15}{4}=3.75 \\ & 20 \times 3,73=75 \# \\ & \frac{100}{3} \times 3.75=\frac{100}{3} \times \frac{15}{4}=\frac{500}{4}=125 \# \end{aligned} $$ A : train a traveled $75 \mathrm{~km}$. train b traveled $125 \mathrm{~km}$.",Distance-Time-Speed && Relative Speed,No,1
715,1092,"rhonda picked 2 pen from the table , if there were 7 pens on the table and 5 belongs to jill , what is the probability that the 2 pen she picked does not belong to jill ? .",probability,2,\frac{c_2^2}{c_2^\eta}=\frac{1}{21},Probability,No,1
716,863,"for a certain exam , a score of 58 was 2 standard deviations below mean and a score of 98 was 3 standard deviations above mean . what was the mean score w for the exam ?",general,2,Assume the standard deviation is $\chi$ $$ \left\{\begin{array}{l} 58=w-2 x \\ 98=w+3 x \end{array}\right. $$ (2) - (1) $$ \begin{aligned} & \Rightarrow 40=5 x \\ & \Rightarrow x=40 \div 5=8 \\ & x=8 \text { put into } 11 \\ & \Rightarrow 58=w-16 \\ & \Rightarrow w=58+16=74 \end{aligned} $$,Expression and Operations with Symbols,No,1
717,4909,"in a certain pond , 50 fish were caught , tagged , and returned to the pond . a few days later , 50 fish were caught again , of which 10 were found to have been tagged . if the percent of tagged fish in the second catch approximates the percent of tagged fish in the pond , what is the approximate number of fish in the pond ?",gain,2,Assume the number of fish in the pond is $X$. $$ \begin{aligned} \frac{50}{x} & =\frac{10}{50} \\ \Rightarrow 10 x & =2500 \\ \Rightarrow x & =250 \end{aligned} $$,Probability,No,1
718,3131,a no . when divided by the sum of 555 and 445 gives 2 times their difference as quotient & 70 as remainder . find the no . is ?,general,2,$$ 555+445=1000 $$ Assume the no is $x$ $$ \begin{aligned} & x \div 1000=2 \ldots 70 \\ & \Rightarrow x=2 \times 1000+70=2070 \end{aligned} $$,Basic Math Operations,No,0
719,3782,"robert ate 7 chocolates , nickel ate 3 chocolates . how many more chocolates did robert ate than nickel ?",general,2,7-3=4,Basic Math Operations,No,1
720,918,"a boat running upstream takes 8 hours 48 minutes to cover a certain distance , while it takes 4 hours to cover the same distance running downstream . what is the ratio between the speed of the boat and speed of the water current respectively ?",physics,2,"Assume the speed of water is $X \mathrm{~km} / \mathrm{hr}$, boat is $$ \begin{aligned} & y \mathrm{~km} / \mathrm{hr} . \\ & (y-x) \cdot \frac{528}{60}=(y+x) \cdot \frac{240}{60} \\ \Rightarrow & (y-x) \cdot 528=(y+x) \cdot 240 \\ \Rightarrow & 528 y-528 x=240 y+240 x \\ \Rightarrow & 288 y=768 x \\ \Rightarrow & 96 y=256 x \\ \Rightarrow & 24 y=64 x \\ \Rightarrow & 3 y=8 x \\ \Rightarrow & x: y=3: 8 \end{aligned} $$",Distance-Time-Speed && Relative Speed,No,0
721,776,"in an election between two candidates a and b , the number of valid votes received by a exceeds those received by b by 15 % of the total number of votes polled . if 20 % of the votes polled were invalid and a total of 4720 votes were polled , then how many valid votes did b get ?",general,2,"Assume b get $\chi$ valid votes. $$ 4720 \times(1-0.2)=3796 $$ valid votes $$ \begin{aligned} & {[(3776-x)-x]=0,15 \cdot 4720} \\ & \Rightarrow 3076-2 x=708 \\ & \Rightarrow 2 x=3776-708=3068 \\ & \Rightarrow x=3068 \div 2=1534  \end{aligned} $$",Ratio Calculation,No,1
722,5573,"20 carrots on a scale weigh 3.64 kg . when 4 carrots are removed from the scale , the average weight of the 16 carrots is 180 grams . what is the average weight ( in grams ) of the 4 carrots which were removed ?",general,2,"$$ \begin{aligned} & 16 \times 180=2880 \mathrm{~g} \\ & =2,88 \mathrm{~kg} \\ & 3,64-2,88=0,76 \mathrm{~kg} \\ & 0,76 \mathrm{~kg}=760 \mathrm{~g} \\ & 760 \div 4=1902 \end{aligned} $$",Arithmetic Mean,No,1
723,5580,"if a * b * c = 130 , b * c * d = 65 , c * d * e = 750 and d * e * f = 250 the ( a * f ) / ( c * d ) = ?",general,2,$$ \begin{aligned} & a \cdot b \cdot c=130 \\ & \Rightarrow a=\frac{130}{b c} \\ & d \cdot e \cdot f=250 \\ & \Rightarrow f=\frac{250}{d e} \\ & b \cdot c \cdot d=65 \\ & \Rightarrow d=\frac{65}{b c} \\ & c \cdot d \cdot e=750 \\ & \Rightarrow c=\frac{750}{d e} \\ & a \cdot f=\frac{130}{b c} \cdot \frac{250}{d e} \\ & c \cdot d=\frac{750}{d e} \cdot \frac{65}{b c} \\ & \frac{a \cdot f}{c \cdot d}=\frac{130 \cdot 250}{750 \cdot 65}=\frac{2}{3} \end{aligned} $$,Expression and Operations with Symbols,No,1
724,3121,an error 2 % in excess is made while measuring the side of asquare . the % of error in the calculated area of the square is ?,geometry,2,"the calculated area of the square is (a side of square) $$ \begin{aligned} & 2 \%=0,02 \\ & (1+0,02)^2=1,0404 \\ & (1,0404)-1=0,0404 \\ & (0,0404) \times 100 \%=4,04 \%  \end{aligned} $$",Ratio Calculation && Area Calculation,No,1
725,4491,"in a dairy farm , 20 cows eat 20 bags of husk in 20 days . in how many days one cow will eat one bag of husk ?",physics,2,"$$ 20 \div 20=1 $$ $\Rightarrow 20$ cows eat a bag of husk in one day. $$ 1 \div 20=\frac{1}{20}=0.05 $$ $\Rightarrow$ one cow eat 0.05 bay of husk in one day, $$ 1 \div 0,05=20  $$",Workload-Time-Speed,No,1
726,4561,a shopkeeper sells 200 metres of cloth for rs . 12000 at a loss of rs . 6 per metre . find his cost price for one metre of cloth ?,gain,2, $$ 12000 \div 200=60 $$ $\Rightarrow$ loss 60 per metre. $$ 60+6=66  $$,Loss,No,1
727,521,"a group of students decided to collect as many paise from each member of group as is the number of members . if the total collection amounts to rs . 51.84 , the number of the member is the group is :",general,2,"Assume the number of member is $x$ $$ \begin{aligned} & (1+2+\cdots+x)=51.84 \\ & \Rightarrow \frac{(1+x) \cdot x}{2}=51.84 \\ & \Rightarrow(1+x) \cdot x=103.68 \\ & \Rightarrow x^2+x-103.68=0 \end{aligned} $$ Use the formula: $\frac{-b \pm \sqrt{b^2-4 a c}}{2 a}= x$ $$ \begin{aligned} & \Rightarrow \frac{-1 \pm \sqrt{1+414,72}}{2}=x \\ & \Rightarrow x \fallingdotseq \frac{-1 \pm 20.39}{2}=9.695 \text { or }-10.695 \end{aligned} $$ (but the negative number is impossible) $$ \Rightarrow x=9.695  $$",Expression and Operations with Symbols && Unit Conversion,No,0
728,566,if annual decrease in the population of a town is 5 % and the present number of people is 40000 what will the population be in 2 years ?,gain,2,\begin{aligned} & (40000) \times(1-5 \%) \times(1-5 \%) \\ & =38000 \times(1-5 \%) \\ & =36100 \end{aligned},Ratio Calculation,No,1
729,572,"a set consists of 12 numbers , all are even or multiple of 5 . if 4 numbers are even and 10 numbers are multiple of 5 , how many numbers is multiple of 10 ?",general,2,even \& multiple of $S$ $\Rightarrow$ multiple of 10 $$ \begin{aligned} & \left\{\begin{array}{l} a+b+x=12 \\ a+x=4-(2) \\ b+x=10-(3) \end{array}\right. \\ & \text { (2)+(3)-(1) } \\ & \Rightarrow(a+x)+(b+x)-(a+b+x)=4+10-12 \\ & \Rightarrow x=2  \end{aligned} $$,Inclusion-Exclusion Principle,No,1
730,679,two trains are moving in the same direction at 72 kmph and 36 kmph . the faster train crosses a man in the slower train in 48 seconds . find the length of the faster train ?,physics,2,"$$ 72-36=36 $$ $\Rightarrow 36 \mathrm{~km} / \mathrm{hr}$ is the speed difference between the two train, $$ \begin{aligned} & 36 \mathrm{~km}=76000 \mathrm{~m} \\ & 3600 \div \div 60 \div 60=10 \mathrm{~m} / \mathrm{sec} . \\ & 10 \times 48=480 \mathrm{~m} \end{aligned} $$",Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
731,964,laxmi and prasanna set on a journey . laxmi moves northwards at a speed of 15 kmph and prasanna moves southward at a speed of 45 kmph . how far will be prasanna from laxmi after 60 minutes ?,physics,2,15+45=60,Distance-Time-Speed && Unit Conversion,No,1
732,4870,"the area of one square is x ^ 2 + 12 x + 36 and the area of another square is 4 x ^ 2  12 x + 9 . if the sum of the perimeters of both squares is 64 , what is the value of x ?",general,2,$$ \begin{aligned} & x^2+12 x+36 \\ = & (x+6)^2 \end{aligned} $$ $\Rightarrow(x+6)$ is the length of one side $$ \begin{aligned} & 4 x^2-12 x+9 \\ & =(2 x-3)^2 \end{aligned} $$ $\Rightarrow(2 x-3)$ is the length of one side. $$ \begin{aligned} & 4(x+6)+4(2 x-3)=64 \\ & \because 4 \\ & \Rightarrow(x+6)+(2 x-3)=16 \\ & \Rightarrow 3 x+3=16 \\ & \Rightarrow 3 x=13 \\ & \Rightarrow x=\frac{13}{3} \end{aligned} $$,Area Calculation && Perimeter Calculation && Factorization of Polynomials,No,1
733,5797,"a school has 4 section of chemistry in class x having 65 , 35 , 45 and 42 students . the mean marks obtained in chemistry test are 50 , 60 , 55 and 45 respectively for the 4 sections . determine the overall average of marks per student .",general,2,first section total score $$ \Rightarrow 65 \times 50=3250 $$ second section total score $$ \Rightarrow 35 \times 60=2100 $$ third section total score $$ \Rightarrow 45 \times 55=2475 $$ fourth section total score $$ \begin{aligned} & \Rightarrow 42 \times 45=1890 \\ & (3250+2100+2475+(890) \div(65+35+45+42) \\ & =97(5 \div 187 \\ & \doteqdot 51.95 \end{aligned} $$,Arithmetic Mean,No,1
734,5288,"an engineer designed a ball so that when it was dropped , it rose with each bounce exactly one - half as high as it had fallen . the engineer dropped the ball from a 16 - meter platform and caught it after it had traveled 44.5 meters . how many times did the ball bounce ?",general,2,"\begin{aligned} & (16+8+8+4+4+2+\cdots)=44,5 \\ & \Rightarrow 16+16+8+4+0,5=44,5 \\ & \text { (1) (2) (3) (4) } \\ & \Rightarrow 4 \text { times } \end{aligned}",Geometric Sequence/Series,No,1
735,5243,a and b working together could mow a field in 28 days and with the help of c they could have mowed it in 21 days . how long would c take by himself ?,physics,2,Assume the workload is $x$ $\frac{X}{28} \Rightarrow a \& b$ 's workload per day. $$ \begin{aligned} & \frac{x}{28} \cdot 21+c=x \\ & \Rightarrow c=x-\frac{21 x}{28}=\frac{7 x}{28}=\frac{x}{4} \end{aligned} $$ $\frac{x}{4}$ is c's workload in 21 days. $$ \Rightarrow \frac{x}{4} \div 21=\frac{x}{84} $$ $\because \frac{X}{84}$ is c's workload per day $\therefore C$ need 84 days to finish the work alone,Workload-Time-Speed,No,1
736,879,"in a garden , there are yellow and green flowers which are straight and curved . if the probability of picking a green flower is 1 / 5 and picking a straight flower is 1 / 2 , then what is the probability of picking a flower which is yellow and straight",probability,2,the possibility of picking a yellow flower is $\left(1-\frac{1}{5}\right)=\frac{4}{5}$ $$ \frac{4}{5} \cdot \frac{1}{2}=\frac{2}{5} \# $$ A1 the possibility of picking a flower which is yellow \& straight $=\frac{2}{5}$,Probability,No,1
737,739,"a man is 30 years older than his son . in two years , his age will be twice the age of his son . the present age of this son is",general,2,Assume the present age of this son is $X$ $$ \begin{aligned} & (x+30)+2=2(x+2) \\ \Rightarrow & x+32=2 x+4 \\ \Rightarrow & x=28 \end{aligned} $$,Expression and Operations with Symbols,No,1
738,933,"the original price of a suit is $ 100 . the price increased 20 % , and after this increase , the store published a 20 % off coupon for a one - day sale . given that the consumers who used the coupon on sale day were getting 20 % off the increased price , how much did these consumers pay for the suit ?",general,2,\begin{aligned} & 100 \times(1+20 \%) \times(1-20 \%) \\ = & 100 \times(1.2) \times(0.8) \\ = & 120 \times(0.8) \\ = & 96 \end{aligned},Discount Problem && Ratio Calculation,No,1
739,5434,"a grocer has a sale of rs . 5921 , rs . 5468 , rs . 5568 , rs . 6088 and rs . 6433 for 5 consecutive months . how much sale must he have in the sixth month so that he gets an average sale of rs . 5900 ?",general,2,$$ \begin{aligned} & 6433 \times 5=32165 \\ & 5921+5468+5568+6088=23045 \\ & 32165-23043=9120 \end{aligned} $$ $\Rightarrow 9120$ is the sale of $rs$ in fifth mouth $$ \begin{aligned} & 5900 \times 6=35400 \\ & 35400-32165=3235  \end{aligned} $$,Arithmetic Mean,No,0
740,570,"a pet store regularly sells pet food at a discount of 10 percent to 30 percent from the manufacturer  s suggested retail price . if during a sale , the store discounts an additional 20 percent from the discount price , what would be the lowest possible price of a container of pet food that had a manufacturer  s suggested retail price o f $ 20.00 ?",gain,2,"If the discount price is (1) $\begin{aligned} 10 \% \Rightarrow 20 \times(1-10 \%) \times(1-20 \%) & =18 \times 0.8 \\ & =14.4\end{aligned}$ $=14.4$ (2) $$ \begin{aligned} 20 \% \Rightarrow 20 \times(1-20 \%) \times(1-20 \%) & =16 \times 0.8 \\ & =12.8 \end{aligned} $$ (3) $$ \begin{aligned} 30 \% \Rightarrow 20 \times(1-30 \%) \times(1-20 \%) & =14 \times 0.8 \\ & =11.2 \end{aligned} $$ $\because 11,2<12,8<14,4$ $\therefore 11,2$ is the lowest price ",Discount Problem,No,1
741,4905,"a retail appliance store priced a video recorder at 20 percent above the wholesale cost of $ 200 . if a store employee applied the 25 percent employee discount to the retail price to buy the recorder , how much did the employee pay for the recorder ?",gain,2,"\begin{aligned} & 200 \times(1+20 \%) \times(1-25 \%) \\ = & 200 \times(1,2) \times(0,75) \\ = & 240 \times(0,75) \\ = & 180  \end{aligned}",Discount Problem && Ratio Calculation,No,1
742,4559,the average weight of 6 person ' s increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg . what might be the weight of the new person ?,general,2,Assume the weight of the new person is $\chi$ and the total weight of original 6 persons is $y$. $$ \begin{aligned} & \frac{(y-65+x)}{6}=\left(\frac{y}{6}\right)+2.5 \\ \stackrel{x 6}{\Rightarrow} & y-65+x=y+15 \\ \Rightarrow & x=15+65=80 \\end{aligned} $$,Arithmetic Mean,No,1
743,4834,"if a 2 + b 2 + c 2 = 941 and ab + bc + ca = 10 , then a + b + c is",general,2,\begin{aligned} & \left\{\begin{array}{l} a^2+b^2+c^2=941 \\ a b+b c+c a=10 \end{array}\right. \\ & (a+b+c)^2=a^2+b^2+c^2+2 a b+2 b c+2 a c \\ & =941+2 \times 10=941+20=961 \\ & (a+b+c)=\sqrt{961}=31 \end{aligned},Square of the Sum,No,1
744,3277,the profit earned by selling an article for rs . 832 is equal to the loss incurred when the same article is sold for rs . 448 . what should be the sale price for making 60 % profit ?,gain,2,Assume the profit is $x$ $$ \begin{aligned} & 832-x=448+x \\ & \Rightarrow 2 x=832-448=384 \\ & \Rightarrow x=192 \end{aligned} $$ $448+192$ $$ \begin{aligned} = & 640 \Rightarrow \cos t \\ & 640 \times(1+60 \%)=1024 \\end{aligned} $$,Profit && Loss,No,1
745,4628,the average weight of 8 persons increases by 3.5 kg when a new person comes in place of one of them weighing 65 kg . what might be the weight of the new person ?,general,2,Assume the weight of the new person is $X$ and the total weight of original 8 persons is $y$. $$ \begin{aligned} & \frac{(y-65+x)}{8}=\left(\frac{y}{8}\right)+3.5 \\ & \stackrel{x 8}{\Rightarrow}(y-65+x)=y+28 \\ & \Rightarrow x=28+65=93 \end{aligned} $$,Arithmetic Mean,No,1
746,3984,"shekar scored 76 , 65 , 82 , 67 and 55 marks in mathematics , science , social studies , english and biology respectively . what are his average marks ?",general,2,\begin{aligned} & (76+65+82+67+55) \\ & =345 \Rightarrow \text { total score } \\ & \frac{345}{5}=69  \text { average score } \end{aligned},Arithmetic Mean,No,1
747,4643,"out of 40 applicants to a law school , 15 majored in political science , 20 had a grade point average higher than 3.0 , and 10 did not major in political science and had a gpa equal to or lower than 3.0 . how many of q applicants majored in political science and had a gpa higher than 3.0 ?",general,2,20-15=5,Fundamental Counting Principles,No,1
748,6141,"when positive integer x is divided by 11 , the quotient is y and the remainder is 4 . when 2 x is divided by 6 , the quotient is 3 y and the remainder is 1 . what is the value of 7 y  x ?",general,2,\begin{aligned} & x \div 11=y \cdots 4 \\ & \Rightarrow x=11 y+4 \\ & 2 x \div 6=3 y \cdots 1 \\ & \Rightarrow 2 x=(6 \cdot 3 y)+1=18 y+1 \\ & \left\{\begin{array}{l} x=11 y+4-(1) \\ 2 x=18 y+1-(2) \end{array}\right. \\ & \text { (2) }-11 \\ & \Rightarrow x=7 y-3 \\ & \Rightarrow 7 y-x=3  \end{aligned},Expression and Operations with Symbols,No,1
749,4541,the cost price of an article is 70 % of the marked price . calculate the gain percent after allowing a discount of 10 % .,gain,2,"Assume the marked price is $x$ $$ \begin{aligned} & x \cdot(1-10 \%)=0.9 x \\ & 0.9 x-0.7 x=0,2 x \\ & \frac{0,2 x}{0.7 x}=\frac{2}{7}=28.57 \% \end{aligned} $$",Profit && Discount Problem,No,1
750,797,mary ' s income is 60 % more than tim ' s income and tim ' s income is 60 % less than juan ' s income . what % of juan ' s income is mary ' s income .,general,2,Assume juan's income is $x$. tim's income $=0.4 x$ $$ \begin{aligned} \text { mary's income } & =(0.4 x) \cdot(1+60 \%) \\ & =(0.4 x)(1.6) \\ & =0.64 x \\ \frac{0.64 x}{x}=0.64 & =64 \% \end{aligned} $$,Ratio Calculation,No,1
751,562,the h . c . f . of two numbers is 18 and the other two factors of their l . c . m . are 11 and 15 . the larger of the two numbers is :,other,2,$$ \left\{\begin{array}{l} h+F=18 - (1) \\ h F=I-(2) \end{array}\right. $$ the factors of $I$ are 11 and 15 $$ \begin{aligned} & 11 \times 15=165=I \\ & h+F=18 \\ & \Rightarrow h=18-F \end{aligned} $$ put $h=18-F$ into (2) $$ \begin{aligned} & \Rightarrow(18-F) F=165 \\ & \Rightarrow F^2-18 F+165=0 \end{aligned} $$ Use formula: $\frac{-b \pm \sqrt{b^2-4 a c}}{2 a}$ $\Rightarrow \frac{18 \pm \sqrt{324-660}}{2} \Rightarrow$ no answer,Least Common Multiple && Greatest Common Divisor,Least Common Multiple && Greatest Common Divisor,0
752,5921,7 people average age is 30 . youngest person age is 5 . find average of the people when youngest was born .,general,2,\begin{aligned} & 30 \times 7=210 \\ & 210-(7 \times 5)=210-35=175 \\ & 175 \div 7=25 \end{aligned},Arithmetic Mean,No,1
753,4839,"john and steve are speed walkers in a race . john is 15 meters behind steve when he begins his final push . john blazes to the finish at a pace of 4.2 m / s , while steve maintains a blistering 3.8 m / s speed . if john finishes the race 2 meters ahead of steve , how long was john  s final push ?",physics,2,"$15+2=1 \eta \Rightarrow$ john need to beyond steve $11 \mathrm{~m}$ $4,2-3,8=0,4 \Rightarrow$ the distance per second. $17 \div 0.4=42.5 $",Distance-Time-Speed,No,1
754,608,"the weight of a hollow sphere is directly dependent on its surface area . the surface area of a sphere is 4  繚 r ^ 2 , where r is the radius of the sphere . if a hollow sphere of radius 0.15 cm made of a certain metal weighs 8 grams , a hollow sphere of radius 0.3 cm made of the same metal would weigh how many grams t ?",geometry,2,"\begin{aligned} & \text { radius }=0,15 \mathrm{~cm} \\ & \Rightarrow \text { surface area }=(4 \pi) \cdot(0.15)^2=0,09 \pi \\ & \text { radius }=0,3 \mathrm{~cm} \\ & \Rightarrow \text { surface area }=(4 \pi) \cdot(0.3)^2=0,36 \pi \\ & \frac{0,36 \pi}{0,09 \pi}=\frac{t}{8} \\ & \Rightarrow 4=\frac{t}{8} \\ & \Rightarrow t=8 \times 4=322 \end{aligned}",Direct Proportion and Inverse Proportion && Area Calculation,No,1
755,4177,"there are 43 stations between ernakulam and chennai . how many second class tickets have to be printed , so that a passenger can travel from one station to any other station ?",physics,2,$A$ is fixed $\Rightarrow 43-1=42$,Permutations and Combinations,Permutations and Combinations,0
756,5066,"if y is the smallest positive integer such that 4410 multiplied by y is the square of an integer , then y must be",geometry,2,because the last number of 4410 is 0 $\Rightarrow 4410 \cdot y$ will be the square of multiple of 10 $$ \begin{array}{ll} 70^2=4900 & 150^2=22300 \\ 80^2=6400 & 160^2=25600 \\ 90^2=8100 & 170^2=28900 \\ 100^2=1000 & 180^2=32400 \\ 110^2=12100 & 190^2=36100 \\ 120^2=14400 & 20)^2=4000 \\ 130^2=16900 & 210^2=44100 \\ 140^2=1960 & 44100=4410 \times 10 \\ \Rightarrow y=10  \quad A: y=10 \end{array} $$,Prime Factorization,No,1
757,4780,"redo  s manufacturing costs for sets of horseshoes include a $ 10,000 initial outlay , and $ 20 per set . they can sell the sets $ 50 . if profit is revenue from sales minus manufacturing costs , and the company producessells 500 sets of horseshoes , what was their profit ?",gain,2,$$ (50-20)=30 $$ $\Rightarrow$ profit per set. $$ \begin{aligned} & 30 \times 500-10000 \\ & =15000-10000 \\ & =5000 \end{aligned} $$,Profit,No,1
758,3814,how many times will the digit 5 be written when listing the integers from 1 to 1000 ?,general,2,$$ \begin{array}{lc} 11 \sim 49 \Rightarrow 5 & 600 \sim 649 \Rightarrow 5 \\ 50 \sim 59 \Rightarrow 11 & 650 \sim 659 \Rightarrow 11 \\ 60 \sim 149 \Rightarrow 9 & \vdots \\ 150 \sim 159 \Rightarrow 11 & 950 \sim 959 \Rightarrow 11 \\ 160 \sim 249 \Rightarrow 9 & 960 \sim 100 \Rightarrow 4 \\ 250 \sim 259 \Rightarrow 11 & \\ 260 \sim 349 \Rightarrow 9 & \\ 350 \sim 359 \Rightarrow 11 & \\ 360 \sim 449 \Rightarrow 9 & \\ 450 \sim 459 \Rightarrow 11 & \\ 460 \sim 499 \Rightarrow 4 & \\ 500 \sim 599 \Rightarrow 100+10+10=120 \\ (11 \times 9)+(9 \times 9)+5+4+120+5+4 \\ =99+63+9+120+9 \\ =162+138=300  \end{array} $$ A 300 times,Basic Math Operations,No,1
